date,quarter,gdp_real
2017-11-01,2017Q4,179316.0
2017-12-01,2017Q4,179316.0
2018-01-01,2018Q1,175979.0
2018-02-01,2018Q1,175979.0
2018-03-01,2018Q1,175979.0
2018-04-01,2018Q2,180373.0
2018-05-01,2018Q2,180373.0
2018-06-01,2018Q2,180373.0
2018-07-01,2018Q3,178319.0
2018-08-01,2018Q3,178319.0
2018-09-01,2018Q3,178319.0
2018-10-01,2018Q4,183551.0
2018-11-01,2018Q4,183551.0
2018-12-01,2018Q4,183551.0
2019-01-01,2019Q1,178054.0
2019-02-01,2019Q1,178054.0
2019-03-01,2019Q1,178054.0
2019-04-01,2019Q2,181115.0
2019-05-01,2019Q2,181115.0
2019-06-01,2019Q2,181115.0
2019-07-01,2019Q3,181080.0
2019-08-01,2019Q3,181080.0
2019-09-01,2019Q3,181080.0
2019-10-01,2019Q4,185983.0
2019-11-01,2019Q4,185983.0
2019-12-01,2019Q4,185983.0
2020-01-01,2020Q1,178061.0
2020-02-01,2020Q1,178061.0
2020-03-01,2020Q1,178061.0
2020-04-01,2020Q2,168511.0
2020-05-01,2020Q2,168511.0
2020-06-01,2020Q2,168511.0
2020-07-01,2020Q3,178526.0
2020-08-01,2020Q3,178526.0
2020-09-01,2020Q3,178526.0
2020-10-01,2020Q4,184757.0
2020-11-01,2020Q4,184757.0
2020-12-01,2020Q4,184757.0
2021-01-01,2021Q1,179877.0
2021-02-01,2021Q1,179877.0
2021-03-01,2021Q1,179877.0
2021-04-01,2021Q2,187228.0
2021-05-01,2021Q2,187228.0
2021-06-01,2021Q2,187228.0
2021-07-01,2021Q3,190470.0
2021-08-01,2021Q3,190470.0
2021-09-01,2021Q3,190470.0
2021-10-01,2021Q4,196122.0
2021-11-01,2021Q4,196122.0
2021-12-01,2021Q4,196122.0
2022-01-01,2022Q1,191242.0
2022-02-01,2022Q1,191242.0
2022-03-01,2022Q1,191242.0
2022-04-01,2022Q2,194727.0
2022-05-01,2022Q2,194727.0
2022-06-01,2022Q2,194727.0
2022-07-01,2022Q3,194856.0
2022-08-01,2022Q3,194856.0
2022-09-01,2022Q3,194856.0
2022-10-01,2022Q4,199511.0
2022-11-01,2022Q4,199511.0
2022-12-01,2022Q4,199511.0
2023-01-01,2023Q1,194702.0
2023-02-01,2023Q1,194702.0
2023-03-01,2023Q1,194702.0
2023-04-01,2023Q2,195827.0
2023-05-01,2023Q2,195827.0
2023-06-01,2023Q2,195827.0
2023-07-01,2023Q3,195486.0
2023-08-01,2023Q3,195486.0
2023-09-01,2023Q3,195486.0
2023-10-01,2023Q4,200762.0
2023-11-01,2023Q4,200762.0
2023-12-01,2023Q4,200762.0
2024-01-01,2024Q1,195069.0
2024-02-01,2024Q1,195069.0
